Postnummer,Datum,Uppskattning,Low_CI,High_CI
12,2020-05-16,0.9,0.59,1.33
22,2020-05-16,0.54,0.32,0.85
16,2020-05-16,0.82,0.45,1.42
18,2020-05-16,0.73,0.41,1.26
60,2020-05-16,0.65,0.14,2.1
75,2020-05-16,0.77,0.41,1.37
13,2020-05-16,0.76,0.43,1.3
81,2020-05-16,0.81,0.19,2.6
87,2020-05-16,1.1,0.17,4.15
71,2020-05-16,0.81,0.15,3.55
73,2020-05-16,0.7,0.16,2.29
57,2020-05-16,0.59,0.21,1.37
24,2020-05-16,0.45,0.25,0.78
54,2020-05-16,0.59,0.18,1.57
64,2020-05-16,0.84,0.25,2.36
93,2020-05-16,0.82,0.18,2.94
80,2020-05-16,0.65,0.17,1.98
74,2020-05-16,0.66,0.24,1.65
78,2020-05-16,1.01,0.25,3.3
35,2020-05-16,0.48,0.09,1.57
63,2020-05-16,0.7,0.11,2.85
58,2020-05-16,0.6,0.22,1.39
82,2020-05-16,0.78,0.21,2.22
42,2020-05-16,0.76,0.37,1.44
84,2020-05-16,,,
34,2020-05-16,0.64,0.13,2.06
14,2020-05-16,0.9,0.45,1.72
92,2020-05-16,,,
61,2020-05-16,0.78,0.26,2.06
76,2020-05-16,1.12,0.19,5.25
44,2020-05-16,0.67,0.31,1.32
38,2020-05-16,0.63,0.12,2.32
91,2020-05-16,,,
83,2020-05-16,1.05,0.4,2.39
85,2020-05-16,0.58,0.08,2.38
56,2020-05-16,0.73,0.2,2.09
68,2020-05-16,0.77,0.14,2.88
47,2020-05-16,0.93,0.15,4.22
17,2020-05-16,0.77,0.38,1.43
37,2020-05-16,0.53,0.17,1.37
88,2020-05-16,,,
62,2020-05-16,0.73,0.11,3.05
39,2020-05-16,0.82,0.15,2.79
65,2020-05-16,0.82,0.26,2.06
66,2020-05-16,0.71,0.15,2.33
31,2020-05-16,0.47,0.09,1.77
51,2020-05-16,0.54,0.1,1.93
89,2020-05-16,0.31,0.01,2.45
33,2020-05-16,0.48,0.08,1.87
69,2020-05-16,0.85,0.18,2.89
67,2020-05-16,0.32,0,3.8
94,2020-05-16,0.71,0.05,3.59
50,2020-05-16,0.71,0.16,2.21
86,2020-05-16,0.6,0.06,2.96
96,2020-05-16,,,
95,2020-05-16,,,
98,2020-05-16,0.88,0.1,3.92
20,2020-05-16,,,
10,2020-05-16,,,
21,2020-05-17,0.51,0.32,0.77
23,2020-05-17,0.52,0.29,0.92
25,2020-05-17,0.42,0.17,0.91
77,2020-05-17,1.12,0.28,3.57
46,2020-05-17,0.64,0.21,1.67
29,2020-05-17,0.47,0.16,1.2
36,2020-05-17,0.44,0.02,3.21
26,2020-05-17,0.47,0.23,0.89
90,2020-05-17,0.78,0.29,1.78
52,2020-05-17,0.79,0.23,2.1
43,2020-05-17,0.63,0.35,1.06
19,2020-05-17,0.98,0.5,1.82
97,2020-05-17,0.72,0.13,2.63
72,2020-05-17,0.73,0.29,1.67
27,2020-05-17,0.63,0.26,1.4
59,2020-05-17,0.68,0.2,1.87
53,2020-05-17,0.66,0.16,1.98
79,2020-05-17,0.6,0.17,1.64
11,2020-05-17,0.82,0.57,1.15
15,2020-05-17,1.13,0.33,3.15
28,2020-05-17,0.66,0.23,1.64
55,2020-05-17,0.6,0.12,1.86
30,2020-05-17,0.4,0.07,1.52
41,2020-05-17,0.73,0.46,1.11
45,2020-05-17,0.62,0.18,1.79
12,2020-05-17,0.9,0.59,1.32
22,2020-05-17,0.5,0.29,0.81
18,2020-05-17,0.74,0.42,1.26
60,2020-05-17,0.81,0.22,2.3
75,2020-05-17,0.75,0.39,1.33
13,2020-05-17,0.78,0.44,1.32
81,2020-05-17,0.82,0.2,2.56
87,2020-05-17,1.07,0.17,4.06
71,2020-05-17,1,0.21,3.96
73,2020-05-17,0.79,0.2,2.42
57,2020-05-17,0.59,0.21,1.4
24,2020-05-17,0.45,0.25,0.77
54,2020-05-17,0.56,0.16,1.51
64,2020-05-17,0.87,0.27,2.37
16,2020-05-17,0.76,0.41,1.33
93,2020-05-17,1.04,0.24,3.3
80,2020-05-17,0.68,0.19,2.03
74,2020-05-17,0.7,0.27,1.68
78,2020-05-17,0.94,0.23,3.11
35,2020-05-17,0.52,0.11,1.64
63,2020-05-17,0.68,0.11,2.78
58,2020-05-17,0.64,0.24,1.44
