date,total_tests,proportion_positive,test_type
2021-10-06,91,0,PCR
2021-10-07,53,0.0377358490566038,Snabbtester (Antigen)
2021-10-07,75,0.0266666666666667,PCR
2021-10-08,55,0.0363636363636364,Snabbtester (Antigen)
2021-10-08,90,0.0333333333333333,PCR
2021-10-09,41,0,Snabbtester (Antigen)
2021-10-09,43,0.0697674418604651,PCR
2021-10-10,43,0,Snabbtester (Antigen)
2021-10-10,40,0.05,PCR
2021-10-11,66,0.0454545454545455,Snabbtester (Antigen)
2021-10-11,126,0.00793650793650794,PCR
2021-10-12,51,0,Snabbtester (Antigen)
2021-10-12,141,0.0212765957446809,PCR
2021-10-13,53,0.0188679245283019,Snabbtester (Antigen)
2021-10-13,84,0,PCR
2021-10-14,60,0.0166666666666667,Snabbtester (Antigen)
2021-10-14,108,0.037037037037037,PCR
2021-10-15,47,0,Snabbtester (Antigen)
2021-10-15,81,0.0246913580246914,PCR
2021-10-16,38,0,Snabbtester (Antigen)
2021-10-16,35,0,PCR
2021-10-17,26,0.0769230769230769,Snabbtester (Antigen)
2021-10-17,26,0,PCR
2021-10-18,54,0,Snabbtester (Antigen)
2021-10-18,119,0.0252100840336134,PCR
2021-10-19,40,0.025,Snabbtester (Antigen)
2021-10-19,85,0.0352941176470588,PCR
2021-10-20,53,0,Snabbtester (Antigen)
2021-10-20,76,0.0394736842105263,PCR
2021-10-21,43,0,Snabbtester (Antigen)
2021-10-21,90,0.0222222222222222,PCR
2021-10-22,55,0.0181818181818182,Snabbtester (Antigen)
2021-10-22,79,0.0126582278481013,PCR
2021-10-23,40,0.05,Snabbtester (Antigen)
2021-10-23,43,0.0232558139534884,PCR
2021-10-24,29,0,Snabbtester (Antigen)
2021-10-24,40,0,PCR
2021-10-25,65,0,Snabbtester (Antigen)
2021-10-25,146,0.0342465753424658,PCR
2021-10-26,49,0.0204081632653061,Snabbtester (Antigen)
2021-10-26,90,0.0222222222222222,PCR
2021-10-27,52,0.0192307692307692,Snabbtester (Antigen)
2021-10-27,74,0.0540540540540541,PCR
2021-10-28,57,0.0350877192982456,Snabbtester (Antigen)
2021-10-28,94,0.0638297872340426,PCR
2021-10-29,58,0.0517241379310345,Snabbtester (Antigen)
2021-10-29,80,0.0125,PCR
2021-10-30,47,0.0425531914893617,Snabbtester (Antigen)
2021-10-30,41,0.0487804878048781,PCR
2021-10-31,32,0.03125,Snabbtester (Antigen)
2021-10-31,36,0.0555555555555556,PCR
2021-11-01,73,0.0410958904109589,Snabbtester (Antigen)
2021-11-01,85,0.0470588235294118,PCR
2021-11-02,48,0.0208333333333333,Snabbtester (Antigen)
2021-11-02,70,0.0714285714285714,PCR
2021-11-03,72,0.0138888888888889,Snabbtester (Antigen)
2021-11-03,60,0.0333333333333333,PCR
2021-11-04,62,0.0161290322580645,Snabbtester (Antigen)
2021-11-04,57,0.087719298245614,PCR
2021-11-05,56,0.0178571428571429,Snabbtester (Antigen)
2021-11-05,55,0,PCR
2021-11-06,44,0.0454545454545455,Snabbtester (Antigen)
2021-11-06,31,0,PCR
2021-11-07,45,0.0222222222222222,Snabbtester (Antigen)
2021-11-07,33,0.0303030303030303,PCR
2021-11-08,69,0.0144927536231884,Snabbtester (Antigen)
2021-11-08,89,0.0449438202247191,PCR
2021-11-09,60,0.0166666666666667,Snabbtester (Antigen)
2021-11-09,66,0.0454545454545455,PCR
2021-11-10,58,0.0172413793103448,Snabbtester (Antigen)
2021-11-10,85,0.0470588235294118,PCR
2021-11-11,79,0.0253164556962025,Snabbtester (Antigen)
2021-11-11,73,0.0136986301369863,PCR
2021-11-12,50,0.02,Snabbtester (Antigen)
2021-11-12,60,0.0166666666666667,PCR
2021-11-13,61,0.0491803278688525,Snabbtester (Antigen)
2021-11-13,28,0.0714285714285714,PCR
2021-11-14,58,0.0344827586206897,Snabbtester (Antigen)
2021-11-14,32,0.03125,PCR
2021-11-15,81,0.0617283950617284,Snabbtester (Antigen)
2021-11-15,78,0.0256410256410256,PCR
2021-11-16,76,0,Snabbtester (Antigen)
2021-11-16,75,0.0266666666666667,PCR
2021-11-17,79,0.0886075949367089,Snabbtester (Antigen)
2021-11-17,91,0.021978021978022,PCR
2021-11-18,119,0.0252100840336134,Snabbtester (Antigen)
2021-11-18,120,0.0833333333333333,PCR
2021-11-19,88,0.0454545454545455,Snabbtester (Antigen)
2021-11-19,113,0.0619469026548673,PCR
2021-11-20,85,0.0117647058823529,Snabbtester (Antigen)
2021-11-20,49,0.0612244897959184,PCR
2021-11-21,67,0.0597014925373134,Snabbtester (Antigen)
2021-11-21,42,0.0238095238095238,PCR
2021-11-22,93,0.0430107526881721,Snabbtester (Antigen)
2021-11-22,213,0.0704225352112676,PCR
2021-11-23,117,0.0256410256410256,Snabbtester (Antigen)
2021-11-23,177,0.0790960451977401,PCR
2021-11-24,87,0.0229885057471264,Snabbtester (Antigen)
2021-11-24,183,0.0601092896174863,PCR
2021-11-25,103,0.0388349514563107,Snabbtester (Antigen)
2021-11-25,164,0.0792682926829268,PCR
2021-11-26,122,0.0245901639344262,Snabbtester (Antigen)
2021-11-26,145,0.0413793103448276,PCR
2021-11-27,88,0.0454545454545455,Snabbtester (Antigen)
2021-11-27,63,0.111111111111111,PCR
2021-11-28,67,0.0447761194029851,Snabbtester (Antigen)
2021-11-28,51,0.0196078431372549,PCR
2021-11-29,125,0.008,Snabbtester (Antigen)
2021-11-29,231,0.051948051948052,PCR
2021-11-30,125,0.04,Snabbtester (Antigen)
2021-11-30,173,0.0809248554913295,PCR
2021-12-01,170,0.0235294117647059,Snabbtester (Antigen)
2021-12-01,243,0.0576131687242798,PCR
2021-12-02,163,0.0306748466257669,Snabbtester (Antigen)
2021-12-02,244,0.0614754098360656,PCR
2021-12-03,196,0.0459183673469388,Snabbtester (Antigen)
2021-12-03,236,0.0254237288135593,PCR
2021-12-04,124,0.00806451612903226,Snabbtester (Antigen)
2021-12-04,128,0.046875,PCR
2021-12-05,123,0.032520325203252,Snabbtester (Antigen)
2021-12-05,79,0.0759493670886076,PCR
2021-12-06,198,0.0353535353535354,Snabbtester (Antigen)
2021-12-06,323,0.0743034055727554,PCR
2021-12-07,183,0.0382513661202186,Snabbtester (Antigen)
2021-12-07,270,0.0666666666666667,PCR
2021-12-08,179,0.0335195530726257,Snabbtester (Antigen)
2021-12-08,262,0.0419847328244275,PCR
2021-12-09,219,0.0136986301369863,Snabbtester (Antigen)
2021-12-09,212,0.0471698113207547,PCR
2021-12-10,188,0.0159574468085106,Snabbtester (Antigen)
2021-12-10,230,0.0782608695652174,PCR
2021-12-11,135,0.0296296296296296,Snabbtester (Antigen)
2021-12-11,112,0.0625,PCR
2021-12-12,129,0.0775193798449612,Snabbtester (Antigen)
2021-12-12,96,0.0729166666666667,PCR
2021-12-13,196,0.0510204081632653,Snabbtester (Antigen)
2021-12-13,327,0.113149847094801,PCR
2021-12-14,179,0.0223463687150838,Snabbtester (Antigen)
2021-12-14,275,0.0872727272727273,PCR
2021-12-15,230,0.0478260869565217,Snabbtester (Antigen)
2021-12-15,277,0.0613718411552347,PCR
2021-12-16,204,0.0294117647058824,Snabbtester (Antigen)
2021-12-16,259,0.0810810810810811,PCR
2021-12-17,208,0.0576923076923077,Snabbtester (Antigen)
2021-12-17,282,0.109929078014184,PCR
2021-12-18,158,0.069620253164557,Snabbtester (Antigen)
2021-12-18,150,0.1,PCR
2021-12-19,157,0.0573248407643312,Snabbtester (Antigen)
2021-12-19,121,0.0578512396694215,PCR
2021-12-20,196,0.0663265306122449,Snabbtester (Antigen)
2021-12-20,371,0.078167115902965,PCR
2021-12-21,245,0.0489795918367347,Snabbtester (Antigen)
2021-12-21,284,0.105633802816901,PCR
2021-12-22,286,0.0629370629370629,Snabbtester (Antigen)
2021-12-22,266,0.075187969924812,PCR
2021-12-23,382,0.0523560209424084,Snabbtester (Antigen)
2021-12-23,274,0.14963503649635,PCR
2021-12-24,393,0.0432569974554707,Snabbtester (Antigen)
2021-12-24,69,0.130434782608696,PCR
2021-12-25,188,0.074468085106383,Snabbtester (Antigen)
2021-12-25,93,0.172043010752688,PCR
2021-12-26,203,0.113300492610837,Snabbtester (Antigen)
2021-12-26,113,0.176991150442478,PCR
2021-12-27,268,0.0970149253731343,Snabbtester (Antigen)
2021-12-27,385,0.2,PCR
2021-12-28,246,0.121951219512195,Snabbtester (Antigen)
2021-12-28,319,0.235109717868339,PCR
2021-12-29,332,0.105421686746988,Snabbtester (Antigen)
2021-12-29,285,0.235087719298246,PCR
2021-12-30,315,0.0603174603174603,Snabbtester (Antigen)
2021-12-30,333,0.153153153153153,PCR
2021-12-31,415,0.072289156626506,Snabbtester (Antigen)
2021-12-31,136,0.213235294117647,PCR
2022-01-01,201,0.194029850746269,Snabbtester (Antigen)
2022-01-01,153,0.176470588235294,PCR
2022-01-02,306,0.143790849673203,Snabbtester (Antigen)
2022-01-02,133,0.195488721804511,PCR
2022-01-03,351,0.165242165242165,Snabbtester (Antigen)
2022-01-03,481,0.274428274428274,PCR
2022-01-04,372,0.153225806451613,Snabbtester (Antigen)
2022-01-04,391,0.29923273657289,PCR
2022-01-05,397,0.156171284634761,Snabbtester (Antigen)
2022-01-05,407,0.368550368550369,PCR
2022-01-06,289,0.13840830449827,Snabbtester (Antigen)
2022-01-06,193,0.290155440414508,PCR
2022-01-07,371,0.153638814016173,Snabbtester (Antigen)
2022-01-07,469,0.294243070362473,PCR
2022-01-08,316,0.221518987341772,Snabbtester (Antigen)
2022-01-08,177,0.23728813559322,PCR
2022-01-09,360,0.213888888888889,Snabbtester (Antigen)
2022-01-09,135,0.362962962962963,PCR
2022-01-10,460,0.152173913043478,Snabbtester (Antigen)
2022-01-10,492,0.363821138211382,PCR
2022-01-11,394,0.218274111675127,Snabbtester (Antigen)
2022-01-11,372,0.365591397849462,PCR
2022-01-12,405,0.180246913580247,Snabbtester (Antigen)
2022-01-12,380,0.357894736842105,PCR
2022-01-13,455,0.145054945054945,Snabbtester (Antigen)
2022-01-13,353,0.337110481586402,PCR
2022-01-14,497,0.181086519114688,Snabbtester (Antigen)
